"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
148,22,148,"福井放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
149,22,149,"福井テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
150,3,150,"スカチャンHD800","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
151,3,151,"MUSIC ON! TV","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
152,3,152,"ムービープラス","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
79,10,79,"CBC中部日本放送","2014-07-06 13:46:42+00","2020-03-26 17:28:44.893075+00",FALSE,"published",0,,"",
105,11,105,"RSK山陽放送","2014-07-06 13:46:42+00","2020-03-26 17:30:14.388932+00",FALSE,"published",0,,"",
102,11,102,"RCC中国放送","2014-07-06 13:46:42+00","2020-03-26 17:30:37.641648+00",FALSE,"published",0,,"",
209,18,209,"NST新潟総合テレビ","2014-07-06 13:46:42+00","2020-03-28 07:37:19.28177+00",FALSE,"published",0,,"",
138,16,138,"KBC九州朝日放送","2014-07-06 13:46:42+00","2020-03-28 19:10:39.971442+00",FALSE,"published",0,,"",
98,17,98,"TBC東北放送","2014-07-06 13:46:42+00","2020-06-08 06:01:47.333193+00",FALSE,"published",0,,"",
147,22,147,"MRO北陸放送","2014-07-06 13:46:42+00","2020-06-08 06:03:54.353662+00",FALSE,"published",0,,"",
125,11,125,"tysテレビ山口","2014-07-06 13:46:42+00","2020-06-08 06:07:21.41844+00",FALSE,"published",0,,"",
116,19,116,"itvあいテレビ","2014-07-06 13:46:42+00","2020-06-08 06:07:51.63927+00",FALSE,"published",0,,"",
88,15,88,"HTB北海道テレビ","2014-07-06 13:46:42+00","2020-06-11 13:35:20.024467+00",FALSE,"published",0,,"",
81,10,81,"メ〜テレ","2014-07-06 13:46:42+00","2020-09-20 13:52:59.770364+00",FALSE,"published",0,,"",
129,2,129,"BS12 トゥエルビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
153,3,153,"ホームドラマチャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
154,10,154,"だいいちテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
155,10,155,"静岡朝日テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
158,3,158,"放送大学CSテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
159,3,159,"放送大学CSラジオ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
160,3,160,"スカチャン","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
161,3,161,"ディズニーXD","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
163,3,163,"ディズニー・チャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
164,3,164,"Music Japan TV","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
167,2,197,"BSアニマックス","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
168,3,174,"スカチャン802","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
169,3,167,"TAKARAZUKA SKY STAGE","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
172,16,170,"テレビ長崎","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
173,16,171,"長崎国際テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
174,22,172,"テレビ金沢","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
175,3,173,"スカチャンHD801","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
176,3,175,"スカチャンHD192","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
177,3,176,"旅チャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
142,16,142,"RKK熊本放送","2014-07-06 13:46:42+00","2019-12-28 08:29:49.588575+00",FALSE,"published",0,,"",
128,2,128,"BS11イレブン","2014-07-06 13:46:42+00","2019-10-27 14:34:55.022594+00",FALSE,"published",0,,"",
180,2,179,"NHK BSプレミアム","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
182,22,181,"福井さかいケーブルテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
188,1,187,"TOKYO MX2","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
